Sentence	SentenceID
พี่ เขียน บท กลอน	correct_32
ฉัน ช่วย สาธารณสุข	correct_20
เขา ฝึก ปฏิบัติ งาน	correct_25
กฎเกณฑ์ งาน แข่งขัน	correct_50
เขา ต้อง การ สมาธิ	correct_28
ฉัน สวดมดต์ ตอนเช้า	incorrect_10
พี่ ทบ ทวน คำศักท์	incorrect_5
เขา มี มรายาท ดี	incorrect_2
เธอ สมัคร เข้า ชมรม	correct_27
คืน นี้ เป็น คืน วัน เพ็ญ	correct_49
เธอ ร่วม งาน สัมภาษณ์ 	correct_17
น้า ธัญญา เป็น คน ดี	correct_35
ครู สาธิต การ เขียน	correct_12
พี่ นั่ง บน แท็กซี่	correct_46
พี่ เขียน บท กลอน	correct_26
เขา ศึกษา ภูมิศาสตร์	correct_22
พี่ ธิดา อ่าน นิทาน	correct_29
ลุง เดิน โขยก เขยก	correct_40
เขา ศึกษา หา ความรู้	correct_36
แม่ ไหว้ พระพุทธรูป	correct_31
เธอ รักษา ความ สะอาด	correct_14
น้า ญาดา ทำ รายงาน	correct_23
พี่ เป็น นัก ศึกษา ฝึก งาน	correct_19
พี่ เจอ ใบ ประกาศ พิลึก	correct_43
ลุง สะสม พระ เครื่อง	correct_13
พี่ สาว ร้อง เพลง เพราะ	correct_45
เพื่อน ต้อง เกื้อ กูล กัน	correct_44
ฉัน ร่วม งาน ทอดกฐิน	correct_48
ป๊ะป๋า ไป ตี กอล์ฟ	correct_38
แม่ ถือ ธูป ไหว้ พระ	correct_21
น้อง ชัก ชงชาติ	incorrect_9
เธอ เข้า ร่วม กิจกรรม	correct_37
น้อง ณัฐ มา ช่วย งาน	correct_15
เพื่อน ชวน ไป เที่ยว	correct_47
ปู่ เตรียม เครื่อง เขียน	correct_16
แช ม่อบ ปฏิบัติ ธรรม	incorrect_4
พี่ชาย มสัคร เรียน	incorrect_1
เสียง ดัง เจี๊ยวจ๊าว	correct_41
พี่ บนบาน กับ ศาล เจ้า	correct_24
เขา ไป งาน รวม ญาติ	correct_42
เธอ ทำ ข้อสอบ เต็มที่	correct_39
พ่อ ถือ ลีศ ห้า	incorrect_8
เาข รักษา สัญญา	incorrect_6
พี่ ญาดา ทำ ตารบ้าน	incorrect_7
พี่ธนา เขียน รายงาน	correct_18
เขา ปฏิบัติ ตาม กฎ	correct_33
เรา ยืน เคารพ ธงชาติ	correct_11
พ่อ อ่าน หนังสือ ธรชมะ	incorrect_3
เขา มี จิต เมตตา	correct_30
เด็ก คนนี้ มี กาลเทศะ	correct_34
